outlet_id,st_id,st_code,outlet_name,display_name,address,city_id,latitude,longitude,store_type,store_concept,open_time,close_time,delivery_open,delivery_close,delivery_distance_m,status,is_open,gmaps_url,phone,country
FC_0001,339,AHNAS,Fore Coffee A.H Nasution,A.H Nasution,"Fore Coffee A.H Nasution -  JL. AH.Nasution komp.griya milala mas ruko a4-a6, Pangkalan Masyhur, Kec. Medan Johor, Kota Medan, Sumatera Utara 20146",5,3.5412863,98.6619958,all,store,07:00,22:00,07:00,21:00,5000,active,True,https://maps.app.goo.gl/ckWKF44fWnh22tn77,8881049869,Indonesia
FC_0002,287,Adam Malik,Fore Coffee Adam Malik,Adam Malik,"Fore Coffee - Jl. H Adam Malik, Kel. Silalas, Kec. Medan Barat, Kota Medan, Sumatera Utara",5,3.6020152,98.6694918,all,store,07:00,23:00,07:00,22:00,5000,active,True,https://goo.gl/maps/vAwQhhu5EYHNxr2s9,88978569861,Indonesia
FC_0003,437,AMDTS,Fore Coffee Aeon Mall Deltamas,Aeon Mall Deltamas,"Fore Coffee Aeon Mall Deltamas - Hegarmukti, Central Cikarang, Bekasi, Jawa Barat 17530",7,-6.35151,107.19553,all,store,10:00,22:00,10:00,21:00,5000,active,True,https://maps.app.goo.gl/DpMobu8ybx38zseP8,8881026188,Indonesia
FC_0004,541,AJGC,Fore Coffee AEON Mall JGC,AEON Mall JGC,"Fore Coffee AEON Mall JGC - Ground Floor, Lot G-16, Jl. Jkt Garden City Boulevard No.1, RT.8/RW.6, Kel. Cakung Timur, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",1,-6.17204,106.95225,all,store,10:00,22:00,10:00,21:00,5000,active,True,https://maps.app.goo.gl/r5Qg5hyLn4avoirL9,88975974659,Indonesia
FC_0005,187,Fore Coffee Aeon Mall Sentul,Fore Coffee Aeon Mall Sentul,Aeon Mall Sentul,"Fore Coffee Aeon Mall Sentul, Lantai ground unit G62, Jl. MH. Thamrin, Sentul City, Kec. Babakan Madang, Bogor, Jawa Barat 16810",10,-6.5672335,106.8552723,all,leisure,10:00,22:00,10:00,21:00,5000,active,True,https://g.page/aeonmallsentulcity?share,88905782506,Indonesia
FC_0006,201,Fore Coffee AEON Tanjung Barat,Fore Coffee AEON Tanjung Barat,AEON Tanjung Barat,"Fore Coffee - AEON Mall Tanjung Barat G Floor Unit 058, Jl. Raya Tj. Barat No.163, RT.12/RW.4, West Tanjung, Jagakarsa, South Jakarta City, Jakarta 12530",1,-6.306608,106.839539,all,store,10:00,22:00,10:00,21:00,5000,active,True,https://g.page/aeon-mall-tanjung-barat?share,88973646062,Indonesia
FC_0007,317,AYBJR,Fore Coffee Ahmad Yani Banjarmasin,Ahmad Yani Banjarmasin,"Fore Coffee Ahmad Yani Banjarmasin - Jl. Ahmad Yani KM. 6.700, RT 002, Kel. Kertak Hanyar I, Kec. Kertak Hanyar, Kab. Banjar, Kalimantan Selatan",15,-3.3520185,114.6288464,all,store,07:00,22:00,07:00,21:00,5000,active,True,https://maps.app.goo.gl/1rKJjG6HUCuLSrnx5,8881021374,Indonesia
FC_0008,481,BAYWG,Fore Coffee Ahmad Yani Banyuwangi,Ahmad Yani Banyuwangi,"Fore Coffee Ahmad Yani Banyuwangi - Jl. Jenderal Ahmad Yani No.32, Penganjuran, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416",65,-8.2175534,114.3694449,all,store,07:00,22:00,07:00,21:00,5000,active,True,https://maps.app.goo.gl/hg8i5s98AAzeptfX7,88297302028,Indonesia
FC_0009,529,AYKDS,Fore Coffee Ahmad Yani Kudus,Ahmad Yani Kudus,"Fore coffee Ahmad Yani Kudus - Jl. Jend. Ahmad Yani No.36, Getas, Getas Pejaten, Kec. Jati, Kabupaten Kudus, Jawa Tengah 59343",69,-6.8194687,110.8372453,all,store,07:00,22:00,07:00,21:00,5000,active,True,https://maps.app.goo.gl/g5UfrPbAQvBndUJj8,88975974663,Indonesia
FC_0010,224,Fore Coffee Ahmad Yani Lampung,Fore Coffee Ahmad Yani Lampung,Ahmad Yani Lampung,"Fore Coffee Ahmad Yani Lampung - Jl. Jenderal Ahmad Yani 31-53, kel. Gotong Royong, Kec. Tanjung Karang Pusat, Kota Bandar Lampung, Lampung 35213",17,-5.421847234833259,105.25723269730932,all,store,07:00,22:00,07:00,21:00,5000,active,True,https://goo.gl/maps/HQbiR5Su6nHmBWm4A,8881041796,Indonesia
FC_0011,455,AYSMR,Fore Coffee Ahmad Yani Samarinda,Ahmad Yani Samarinda,"Fore Coffee Ahmad Yani Samarinda - Jl. Ahmad Yani No. 9, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur",14,-0.4786273,117.1555414,all,store,07:00,22:00,07:00,21:00,5000,active,True,https://maps.app.goo.gl/k9Yqpz8ggR9zKmkw9,88297302015,Indonesia
FC_0012,488,AYSR,Fore Coffee Ahmad Yani Serang,Ahmad Yani Serang,"Fore Coffee - Jl. Jenderal Ahmad Yani Serang, No.124A  Sumurpecung, Kec. Serang, Kota Serang, Banten 42117",44,-6.1202129,106.1672199,all,store,08:00,22:00,08:00,22:00,5000,active,True,https://maps.app.goo.gl/1paBhoUwd98YXeHn9,87783795600,Indonesia
FC_0013,442,AYSBY,Fore Coffee Ahmad Yani Surabaya,Ahmad Yani Surabaya,"Fore Coffee Ahmad Yani Surabaya - Jl. Ahmad Yani No.174, Gayungan, Kec. Gayungan, Surabaya, Jawa Timur 60235",3,-7.3307609,112.7304407,all,store,07:00,22:00,07:00,21:00,5000,active,True,https://maps.app.goo.gl/LuGKt6N14CiVDktg7,81944216486,Indonesia
FC_0014,334,ALMKS,Fore Coffee Alauddin Makassar,Alauddin Makassar,"Fore Alauddin Makassar - Sultan Alauddin, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan",12,-5.179598246411652,119.44029899056036,all,store,07:00,23:00,07:00,22:30,5000,active,True,https://maps.app.goo.gl/8QHrqfxkeP4EFNWj7,8881021324,Indonesia
FC_0015,271,Alternative Cibubur,Fore Coffee Alternative Cibubur,Alternative Cibubur,"Fore Coffee - Jl. Raya Cibubur, Kel. Harjamukti, Kec. Cimanggis, Kota Depok",6,-6.3758878,106.8987344,all,store,07:00,23:00,07:00,22:00,5000,active,True,https://goo.gl/maps/2sKE77qdVmPsDCAK8,88978566613,Indonesia
FC_0016,539,AMBON,Fore Coffee Ambon Manise Square,Ambon Manise Square,"Fore Coffee Ambon Manise Square - Jl. Jenderal Sudirman No.88, Batu Merah, Kec. Sirimau, Kota Ambon, Maluku",70,-3.67861,128.1942,pickup_only,store,08:00,23:00,08:00,21:30,5000,active,True,https://maps.app.goo.gl/edi4eiry2vCKc5L36,88975974677,Indonesia
FC_0017,26,Fore Coffee Anggrek Cakra,Fore Coffee Anggrek Cakra,Anggrek Cakra,"Fore Coffee - Jl. Anggrek Cakra No 20, Kebon Jeruk, Jakarta Barat",1,-6.202477,106.77797,all,fore_go,07:00,21:00,07:00,21:00,5000,active,True,https://goo.gl/maps/NioBorUzQ1BCuWs68,8881029722,Indonesia
FC_0018,357,AMSMG,"Fore Coffee Anjasmoro, semarang","Anjasmoro, semarang","Fore Coffee Anjasmoro, semarang  - Jl. Anjasmoro Raya, Tawangmas, Kec. Semarang Barat, Kota Semarang, Jawa Tengah (nomor bangunan TBC)",11,-6.9763426,110.3905357,all,store,07:00,22:00,07:00,21:00,5000,active,True,https://maps.app.goo.gl/Ly7Dh4EpgaPwDnZ97,8881051357,Indonesia
FC_0019,366,ANTAS,"Fore Coffee Antasari, Lampung","Antasari, Lampung","Fore Coffee Antasari, Lampung - Jl. P. Antasari No.109, Jagabaya III, Kec. Way Halim, Kota Bandar Lampung, Lampung 35133",17,-5.4063927,105.2758483,all,store,07:00,22:00,07:00,21:00,5000,active,True,https://maps.app.goo.gl/kFJWp6K26mdd5Qz89,88973609268,Indonesia
FC_0020,236,Fore Coffee Araya Plaza,Fore Coffee Araya Plaza,Araya Plaza,"Fore Coffee - Jl. Blimbing Indah Megah No.2, Purwodadi, Kec. Blimbing, Kota Malang, Jawa Timur 65126",9,-7.936453,112.650459,all,store,07:00,22:00,07:00,21:00,5000,active,True,https://goo.gl/maps/8M4M1ejNbFLqFA4JA,8889975971,Indonesia
FC_0021,422,APDI,Fore Coffee Arteri Pondok Indah,Arteri Pondok Indah,"Fore Coffee Arteri Pondok Indah - Jl. Sultan Iskandar Muda No.7A, RT.3/RW.9, Kel. Kebayoran Lama Selatan, Kec. Kebayoran. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 (Sebelah RPC)",1,-6.257370738619946,106.78192232652528,all,store,07:00,23:00,07:00,22:00,5000,active,True,https://maps.app.goo.gl/4YiUH8kXuC3RZvt49,81944219478,Indonesia
FC_0022,220,Fore Coffee Baloi Batam,Fore Coffee Baloi Batam,Baloi Batam,"Fore Coffee - Jl. Pembangunan Blok A No. 2,3,4, Batu Selicin, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444",22,1.134947,104.008197,all,store,07:00,23:00,07:00,22:00,5000,active,True,https://goo.gl/maps/7U1NuLz9NhXTRRFy5,8881007301,Indonesia
