transaction_id,date,time,outlet_id,outlet_name,city,province,menu_id,menu_name,category,quantity,unit_price,total_amount,channel
TXN_000001,2025-01-19,07:18,FC_0026,Fore Coffee Citraland Mall,Jakarta Barat,DKI Jakarta,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Pick-up (App)
TXN_000002,2025-02-02,08:39,FC_0092,Fore Coffee Ijen,Malang,Jawa Timur,SIG04,Iced Pandan Latte,Fore Signature,2,29000,58000,GrabFood
TXN_000003,2026-02-15,17:30,FC_0330,Fore Coffee DP Mall,Semarang,Jawa Tengah,COF10,Hot Espresso,Coffee,3,21000,63000,ShopeeFood
TXN_000004,2025-07-11,09:48,FC_0135,Fore Coffee AEON Mall JGC,Jakarta Timur,DKI Jakarta,SIG06,Iced Buttercream Latte,Fore Signature,1,33000,33000,Pick-up (App)
TXN_000005,2025-05-20,17:04,FC_0221,Fore Coffee Central Park,Jakarta Barat,DKI Jakarta,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,GrabFood
TXN_000006,2025-12-01,15:55,FC_0325,Fore Coffee Oakwood Mega Kuningan,Jakarta Selatan,DKI Jakarta,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,2,33000,66000,Dine-in
TXN_000007,2025-05-03,14:34,FC_0272,Fore Coffee Pasar Baru,Jakarta Pusat,DKI Jakarta,COF09,Iced Caramel Praline Macchiato,Coffee,3,34000,102000,GoFood
TXN_000008,2025-03-02,12:11,FC_0164,Fore Coffee Gambir,Jakarta Pusat,DKI Jakarta,NCF03,Iced Classic Milo,Non Coffee,2,25000,50000,Dine-in
TXN_000009,2025-04-18,20:22,FC_0278,Fore Coffee Location 3,Batam,Kepulauan Riau,AMR01,Iced Americano,Americano,3,23000,69000,GoFood
TXN_000010,2026-01-08,16:35,FC_0114,Fore Coffee Palembang Icon,Palembang,Sumatera Selatan,SIG01,Iced Aren Latte,Fore Signature,2,29000,58000,Pick-up (App)
TXN_000011,2025-06-23,13:20,FC_0130,Fore Coffee Location 4,Cirebon,Jawa Barat,SIG04,Iced Pandan Latte,Fore Signature,2,29000,58000,Dine-in
TXN_000012,2025-06-30,18:02,FC_0277,Fore Coffee Monas Area,Jakarta Pusat,DKI Jakarta,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Pick-up (App)
TXN_000013,2025-03-02,17:04,FC_0209,Fore Coffee Location 4,Banjarmasin,Kalimantan Selatan,NCF02,Iced Matcha Green Tea,Non Coffee,5,34000,0,GoFood
TXN_000014,2026-01-19,19:03,FC_0214,Fore Coffee Pandanaran,Semarang,Jawa Tengah,COF01,Iced Cafe Latte,Coffee,1,29000,29000,GrabFood
TXN_000015,2025-01-25,13:35,FC_0128,Fore Coffee Season City,Jakarta Barat,DKI Jakarta,COF02,Hot Cafe Latte,Coffee,4,29000,116000,Pick-up (App)
TXN_000016,2025-12-18,15:13,FC_0086,Fore Coffee Hartono Mall Solo,Solo,Jawa Tengah,SIG01,Iced Aren Latte,Fore Signature,2,29000,58000,Dine-in
TXN_000017,2025-04-13,09:25,FC_0084,Fore Coffee Tunjungan Plaza,Surabaya,Jawa Timur,SIG04,Iced Pandan Latte,Fore Signature,2,29000,58000,GrabFood
TXN_000018,2025-11-29,15:09,FC_0219,Fore Coffee Panglima Polim,Jakarta Selatan,DKI Jakarta,SIG01,Iced Aren Latte,Fore Signature,2,29000,58000,Pick-up (App)
TXN_000019,2025-10-09,08:37,FC_0028,Fore Coffee Epicentrum Walk,Jakarta Selatan,DKI Jakarta,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,2,33000,66000,Pick-up (App)
TXN_000020,2025-10-19,07:47,FC_0298,Fore Coffee Area 11,Jakarta Utara,DKI Jakarta,SIG04,Iced Pandan Latte,Fore Signature,1,29000,29000,Dine-in
TXN_000021,2025-03-23,11:29,FC_0234,Fore Coffee Location 4,Padang,Sumatera Barat,SIG02,Hot Aren Latte,Fore Signature,1,29000,29000,Dine-in
TXN_000022,2025-01-03,09:47,FC_0275,Fore Coffee Location 2,Batam,Kepulauan Riau,REF01,Iced Coco Peach Fusion,Refresher,2,29000,58000,Pick-up (App)
TXN_000023,2025-10-05,10:13,FC_0030,Fore Coffee Location 1,Cirebon,Jawa Barat,SIG06,Iced Buttercream Latte,Fore Signature,2,33000,66000,Pick-up (App)
TXN_000024,2025-01-02,19:15,FC_0209,Fore Coffee Location 4,Banjarmasin,Kalimantan Selatan,DEL01,Mushroom Truffle Sandwich,Fore Deli,2,42000,84000,GoFood
TXN_000025,2025-04-06,21:19,FC_0223,Fore Coffee Foresta BSD,Tangerang Selatan,Banten,COF01,Iced Cafe Latte,Coffee,2,29000,58000,GoFood
TXN_000026,2025-07-06,19:02,FC_0238,Fore Coffee Cinere Bellevue,Depok,Jawa Barat,SIG01,Iced Aren Latte,Fore Signature,2,29000,58000,Pick-up (App)
TXN_000027,2025-09-23,13:25,FC_0341,Fore Coffee Tambun,Bekasi,Jawa Barat,COF09,Iced Caramel Praline Macchiato,Coffee,1,34000,34000,GoFood
TXN_000028,2026-03-09,09:38,FC_0262,Fore Coffee Area 12,Medan,Sumatera Utara,SIG07,Iced Kopi Dari Tani,Fore Signature,5,25000,125000,Dine-in
